_id,geometry,ogc_fid0,fid,m_id,link_p,sector,dev_pro,pro_note,pro_dev,cap_inv_m,cap_inv,nat_pro,job_creat,sta_oper,pro_dur,land_a,dir_name,nat,eia_rep,eia_l,com_stat,par_com,com_type,reg_add,csr_prog,soc_envi,r_cdc,cdc_date,sub_n,sub_d,location,village,commune,district,pro_loc,data_c,reference,lat,long,note_co
32,0101000020887F0000F50281A5C6F91D41AD2E47CA1A4C3341,32,32,45,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=45,Industrial development,SEZ,"Other professional services, transport & logistics",Kerry Worldbridge SEZ,100.0,"100,000,000",,20,2014,,63,Sear Rithy,Cambodia,,,,,Private Limited Company,"National Road 2,  Preaek Kampis, Kandal Stueng, Kandal, Cambodia","Charitable works in Cambodia include numerous public-private partnership programs, the Cambodian Red Cross, and the Mekong Futures Initiative (MFI). In 2018, the company created a charity event, called Charity for primary school student and annual trip of WorldBridge Group Family to Siem Reap 2018.",,,,,,Phnom Penh,,Prek Kampues,Dangkao,Phnom Penh,Other data,"construction_property_kerry_worldbridge_sez_breaks_ground__31.12.2015.pdf;Kerry_Worldbridge_Logistics__00.00.2022.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf
",11.440311,104.918606,Project location (Google)
33,0101000020887F00004BC3B079125B154161445A15901D3241,33,33,,,Energy,Coal power,Coal-fired plant of royal group project,"Royal Group Co., Ltd",860.0,"860,000,000",,,2018,,,Meng Kith,"Cambodia, China",,,,,Private Limited Company,"246, Monivong Blvd, Phum 10, Boeng Reang, Doun Penh, Phnom Penh, 12211, Cambodia
Cambodia",,,,,,,"Stung Hav district, Preah Sihanouk province",,,Stung Hav,Preah Sihanouk,Secondary data,Royal_Group_700MW_power_plant__18.06.2019.pdf;Botum_Sakorpower_station_Global_Energy_Monitor__19.07.2021.pdf;Royal_Group_CSR__15.03.2021.pdf,10.73683166,103.6272684,District
34,0101000020887F0000CCC1F30D13E413415AE03BFB87613241,34,34,,,Energy,Coal power,Botum sakor power station,"Royal Group Co., Ltd, Sinosteel Equipment And Engineering Co., Ltd","1,340.0","1,340,000,000",China,,2019,,,Meng Kith,"Cambodia, China",,,,,,,,,,,,,"Thmor Sor Commune, Botum Sakor District, Koh Kong Province",,Thmor Sor,Botum Sako,Koh Kong,Other data,Royal_Group_700MW_power_plant__18.06.2019.pdf;Coal_fired_plants_and_transmission_line__09.02.2020.pdf,10.89309108,103.4070145,Commune
35,0101000020887F00004E85B9E31683144135FD4D8456F13141,35,35,,,Energy,Coal power,Ciidg–huadian sihanoukville coal power plant,"Huadian Sihanoukville Power Generation Co., Ltd,  Cambodia International Investment Development Group (CIIDG) And China Huadian Hong Kong Company Limited (CHDHK)","1,300.0","1,300,000,000",China,"2,670",2018,35,,Le Jianhua,China,,,,,Private Limited Company,"Room 201, GOLDEN STAR APARTMENT, No 36, Street 592Z, Boeng Kak Pir, Tuol Kouk, Phnom Penh, Cambodia
Cambodia",,,,,,,Preah Sihanouk province,,,Stung Hav,Preah Sihanouk,Other data,700MW_coal_plant__30.06.2020.pdf;CIIDG_Huadian_Sihanoukville_Coal_Power_Plant__18.10.2021.pdf,10.63388889,103.5013889,Province
36,0101000020887F0000DC61916DE4E41041A970D08253853341,36,36,,,Energy,Hydropower​ plant,Hydropower project,"China Huadian Corp Ltd, China Huadian Lower Stung Russei Chrum Hydro-Electric Project (Cambodia) Co., Ltd",500.0,"500,000,000",China,,2015,35,,Le Jianhua,China,,,,,Private Limited Company,"Room 607, six storey, The Noblesse Residince, No ៦០, Street 337, Boeng Kak Ti Muoy, Tuol Kouk, Phnom Penh, Cambodia
Cambodia",,,,,,,"Stung Russey Chrum, Koh Kong province",,,Mondul Seima,Koh Kong,Other data,China_Huadian_Corporation_Ltd__23.03.2019.pdf;Cambodia_biggest_hydropower_project_open__12.01.2015.pdf,11.56556987,102.9532025,District
37,0101000020887F000096978CC56F461A4186E8B264C8F43741,37,37,,,Energy,Coal power,Oddar meanchey coal power plant,"Oddormeanchey Power Industrial Company Limited, Han Seng Coal Mines Company Limited, Guodian Kangneng Technology Stock Company Limited, Beijing Willard Technology Company Limited, China CAMC Engineering Company Limited",369.9,"369,900,000",China,,2017,,,Vinh Hour,Cambodia,"",,,,Private Limited Company,"No. 06, Street 416, Phum 1, Tumnob Tuek, Chamkar Mon, Phnom Penh, 12306, Cambodia
Cambodia",,,,,,,Oddar Meanchey province’s Trapaing Prasat district,,,Trapeang Prasat,Oddar Meanchey,Other data,Coal_fired_plants_and_transmission_line__09.02.2020.pdf;Han_Seng_Coal_Mine__17.05.2021.pdf;Lack_of_Renewable_Energy__31.10.2021.pdf;CSO_Statement_1__00.04.2020.pdf;Oddar_Meanchey_Coal_Power_Plant__06.10.2021.pdf,14.20046146,104.3558016,District
38,0101000020887F0000C0B9A7C36F461A41BFA0B76A51EA3741,38,38,,,Energy,Transmission line,230 kV power transmission line connecting the plant in oddar meanchey to the sub-station of eastern siem reap.,"Han Seng Coal Mine Co., Ltd",61.5,"61,500,000",,,2020,,,Vinh Hour,Cambodia,,,,,Private Limited Company,"No 06, Street 416, Phum 1, Tumnob Tuek, Chamkar Mon, Phnom Penh, 12306, Cambodia
Cambodia",,,,,,,Trapaing Prasat to the Siem Reap East substation,,,Trapeang Prasat,Oddar Meanchey,Other data,Coal_fired_plants_and_transmission_line__09.02.2020.pdf;Cambodia_National_Assembly_approves_two_coal_fired__02.04.2020.pdf,14.17624008,104.35587,District
39,0101000020887F000014CDDD84640D1441A312FBA9B3B83341,39,39,20,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=20,Energy,Hydropower​ dam,246MW hydropower project,"China National Heavy Machinery Corporation, Cambodian  Stung Tatay Hydropower Limited, The Northwest Hydroelectric Investigation Design And Research Institute Of China Hydropower Engineering Consulting Group Co (CHECC), Chint Company Limited",540.0,"540,000,000",China,"4,100",2015,42,1330,Xiao Ping,China,EIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=10,,,Private Limited Company,"No. 16, Street 592, Phum 12, Boeng Kak Pir, Tuol Kouk, Phnom Penh",,,,,,,Tatai river in Koh Kong province’s northern Thma Bang district,,,Thma Bang,Koh Kong,Other data,Sixth_Chinese_Dam_in_KohKong__15.08.2014.pdf;Stung_Tatay_Cambodia__13.12.2021.pdf;Tatay_River_Hydropower_Dam_BRI__00.04.2021.pdf,11.687431,103.426882,District
40,0101000020887F00005BFF4F3DE2241E41BEA99D28AF613341,40,40,,,Energy,Solar farm,,"Hounen Solar Inc Co., Ltd",9.5,"9,500,000",,250,,,,Wang Qingbiao,China,,,,,Private Limited Company,"Kdan Roy, Damnak Ampil, Angk Snuol, Kandal, Cambodia",,,,,,,Kandal province,,,,Kandal,Other data,Five_New_Investment_Projects__05.27.2020.pdf;Three_Investment_Projects_Worth_$246_Million__28.05.2020.pdf,11.49027778,104.9438889,Province
41,0101000020887F0000468B80B975981241D870687E16193641,41,41,,,Energy,Solar farm,60 MW solar pv power project,"Risen Energy (Cambodia) Battambang Co., Ltd",50.9,"50,900,000",,50,,,,Liu Dong,China,,,,,Private Limited Company,"No. 711, Street 598, Phnom Penh Thmei, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,Battambang,,,,Battambang,Other data,Chinese_FirmLicensed_To_build_Another_Solar_Park__25.05.2020.pdf;Risen_Energy__2021.pdf;Risen_Energy_Battambang_Solar_PV_Park__16.12.2021.pdf,13.09388889,103.1983333,Province
42,0101000020887F00001769E835760A19415B2D7228A8E33141,42,42,25,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=25,Energy,Hydropower​ dam,Sinohydro kamchay hydroelectric project,"Sinohydro Kamchay Hydroelectric Project Co., Ltd",170.0,"170,000,000",China,,2011,44,"2,000",Bai Xiaoning,China,EIA,https://opendevelopmentcambodia.net/km/profiles/environmental-impacts-assessments/?feature_id=27,,,Private Limited Company,"No. 49, Street 310, Boeng Keng Kang Muoy, Chamkar Mon, Phnom Penh, Cambodia
Cambodia",,,,,,,"Preah Monivong National Park – Bokor National Park, Kampot",,Trapeang Plang,Chhuk,Kampot,Other data,Sinohydro_First_Overseas_BOT_Project_Begins_Operation__16.01.2012.pdf;Sinohydro_Kamchay_Hydroelectric_Project__20.01.2021.pdf;OpenCorporates_SINOHYDRO_KAMCHAY_HYDROELECTRIC_PROJECT__05.01.2022.pdf,10.60472222,104.1797222,Province
43,0101000020887F0000636CEE94515E15419F453FC998E83141,43,43,,,Energy,Coal power,7x135MW coal-fired power plant,"C.I.I.D.G Erdos Hongjun Electric Power Co., Ltd",383.0,"383,000,000",,600,2014,33,,"Chen Jihong, Choeung Sopheab, Lau Ming Kan, Wang Linxiang",China,,,,,Private Limited Company,"No. 27 (Monireth Villa), Street 307, Boeng Kak Pir, Tuol Kouk, Phnom Penh, Cambodia","Cambodian Red cross donation, a two-year scholarship program",,,,,,"Stoeng Hav Industrial Zone, Preah Sihanouk",,Stung Hav,Stung Hav,Preah Sihanouk,Other data,Construction_Coal_Fired_Station__20.08.2019.pdf;Sihanoukville_CIIDG_Power_Station__28.06.2021.pdf;CIIDG_Erdos_Hongjun_Electric_Power__00.00.2015.pdf,10.6142424,103.6297175,District
44,0101000020887F0000F459942FF8D91641D24A0D307C373341,44,44,60,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=60,Energy,Hydropower​ dam,18 MW kirirom 3 hydropower plan,CETIC International Hydropower Development,47.1,"47,100,000",,,2013,30,,"Gao Sujie, Mao Zhongyi, Su Fei, Wang Xiaofei, Zhao Baoyong",China,,,,,Private Limited Company,"No. 6B, Street 21,Tonle Basak, Chamkar Mon, Phnom Penh, Cambodia",,,,,,,"Kirirom National Park, Prek Kampong Som, Koh Kong",,Dang Peng,Sre Ambel,Koh Kong,Other data,Cetic_International_Hydropower_Development__01.28.2021.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Hydroworld_Kamchay__16.02.2015.pdf,11.39033,103.8487912,Project location (Google)
45,0101000020887F0000F2A5E1B2600B1841C6998FFD34EC3241,45,45,61,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=61,Energy,Hydropower​ dam,12 MW kirirom 1 hydropower plan,CETIC International Hydropower Development,26.0,"26,000,000",,,2002,30,,"Gao Sujie, Mao Zhongyi, Su Fei, Wang Xiaofei, Zhao Baoyong",China,,,,,Private Limited Company,"No. 6B, Street 21, Tonle Basak, Chamkar Mon, Phnom Penh, Cambodia",,,,,,,"Kirirom National Park, Kampong Speu",,Treng Trayoung,Phnom Sruoch,Kom­pong Speu,Other data,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,11.21671677,104.0285093,Project location (Google)
46,0101000020887F0000B44E117610621241F3A515EF1C4C3441,46,46,72,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=72,Energy,Hydropower​ dam,120 MW Atai hydropower plant ,"C.H.D (Cambodia) Hydropower Development Co., Ltd",255.0,"255,000,000",,,2014,34,,"Huang Tao, Li Wenqi, Liu Chong, Qiu Huibin, Wang Xiaohong, Yin Tengyun, Zhang Dexiang, Zhang Li, Zhang Weiguo",China,,,,,Private Limited Company,"Borey Sen Sok Building A , 8th storeys, 598, Other, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,"Central Cardamom Protected Forest area (Triagle areas of Pursat, Koh Kong & Kompong Speu)",,,,Pursat,Other data,Chinese_Built_Power_Plant__27.03.2014.pdf;Cambodia_Power_Update__00.04.2018.pdf,12.027048,103.1737788,Project location (Google)
47,0101000020887F000081A9EB2D53B8124172DFBE7CCBB63241,47,47,,,Tourism,Resort,Development pilot zone and cambodian Dara Sakor seashore resort,"Union Development Group Co., Ltd","3,800.0","3,800,000,000",,"1,000,000",,99,45000,Li Tao,China,,,,,Private Limited Company,"No. 11, Street 592, Phum 13, Boeng Kak Pir, Tuol Kouk, Phnom Penh, 12152, Cambodia",,,,,,,"Botum Sakor National Park, Koh Kong",,,,Koh Kong,Other data,"Chinese_Colony_Takes_Shape_In_Cambodia__05.06.2018.pdf;Union_Development_Group_Co.,Ltd__10.01.2022.pdf;Dara_Sakor_Project__10.01.2021",11.089443,103.230371,Province
48,0101000020887F0000B20D5A2F0EC8154167421DEE68D53141,48,48,,,Tourism,Resort,Golden silver gulf resort or Sihanouk new city golden-silver gulf project,"Yeejia Tourism Development Co., Ltd","5,000.0","5,000,000,000",,,,,3300,"Fu Xiangting, Fu Xiao",China,,,,,Private Limited Company,"No. 37, Street 55, Chakto Mukh, Doun Penh, Phnom Penh, Cambodia
Cambodia",,,,,,,"Ream National Park, Preah Sihanouk",,,,Preah Sihanouk,Other data,New_Partners_For_Planned_Resort__21.03.2016.pdf;Chinese_Investors_Sign_On_New_City_Plans_for_Ream_Park__25.04.2019.pdf;	Yeejia_Tourism_Development__19.01.2021.pdf,10.57009354,103.6917553,Project location (Google)
49,0101000020887F0000289C67672282154198F9EF2EE4DD3141,49,49,,,Tourism,Resort,Ream city or Naga city or Neak Reach project,"Canopy Sands Development Co., Ltd","16,000.0","16,000,000,000",,,,,834,"Chen Zhi, Guy Chhay, Koh Zhixing",China,,,,,Private Limited Company,"Casa Meridian Condo,  Orient Tower Building, No 1, 2nd storey, A០១-០១, Harvard Street of Koh Pich, Tonle Basak, Chamkar Mon, Phnom Penh, Cambodia",,,,,,,120 MW Atai hydropower plant ,,Ream,Prey Nob,Preah Sihanouk,Other data,Billions_Of_Dollars_Set_To_Boost_Visitor_Attractions__05.08.2021.pdf;Canopy_Sands__28.01.2021.pdf;Canopy_Sands_Development_Presentation__2020.pdf;Chinese_Investors_Sign_On_New_City_Plans_for_Ream_Park__25.04.2019.pdf,10.58955327,103.6507758,Commune
50,0101000020887F0000E60B2E4C064F1E412E1FA253014E3741,50,50,,,Agro-industry,ELC,Ream city or Naga city or Neak Reach project,"Hengfu Group Sugar Industry Co., Ltd",360.0,"360,000,000",,"14,000",,,49000,Fu,China,,,,,Private company limited by shares,,,,,,,,Preah Vihear,,,,Preah Vihear,Other data,Coalition_Condemn_Land_Grabbing__06.02.2018.pdf;Hengfu_Group_Sugar__01.12.2021.pdf,13.81527778,104.9683333,Province
51,0101000020887F0000D6193CAAFE0720414FA4F04F502C3741,51,51,elc_gdc_184,https://opendevelopmentcambodia.net/en/profiles/economic-land-concessions/?feature_id=elc_gdc_184,Agro-industry,ELC,Sugarcane concessions,Rui Feng (Cambodia) International Company Limited,360.0,"360,000,000",,"7,000",2012,,40000,Kor Yang,China,,,,"Hengfu Group Sugar Industry Co., Ltd.",,,,,,,,,Preah Vihear,,"Mlu Prey Mouy,Chheb 2
Sangke 2",Chheb,Preah Vihear,Other data,Massive_Chinese_Sugarcane_Firm_Disappears_From_Preah_Vihear__04.02.2020.pdf,13.73718,105.23412,Project location (Google)
52,0101000020887F00002AFA5DFC58F71641B8A351947A893641,52,52,,,Agro-industry,Factory,Tree plantation and processing factory,"Siemon (Cambodia) Agricultural Comprehensive Development Co., Ltd",61.0,"61,000,000",,,,,,"Bo Gao, Desheng Xu",China,,,,,Private Limited Company,"No. 18, Street 2, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,Siem Reap province,,,,Siem Reap,Other data,14_New_Factories__05.08.2021.pdf;Siemon_Agriculture__01.28.2021.pdf,13.35777778,103.8575,Province
53,0101000020887F0000F227D0642CF22341A6F2B6B8A9D33741,53,53,,,Agro-industry,Factory,Factory for wood process,"Siemon (Cambodia) Agricultural Comprehensive Development Co., Ltd",61.0,"60,990,000",,"1,488",,,,"Bo Gao, Desheng Xu",China,,,,,Private Limited Company,"No. 18, Street 2, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,"Siem Pang district, Stung Treng",,Srae Sambour,Siem Pang,Stung Treng,Other data,The_Council_For_The_Development_Of_Cambodia__27.03.2018.pdf,14.12045765,106.4228675,District
54,0101000020887F0000A463CAD51C6A1D4119C11010D4C53641,54,54,,,Agro-industry,Factory,Agro-industrial rubber plantation and construct a processing factory,"China Great Cause (Cambodia) Investment Co., Ltd",32.0,"32,000,000",,"1,325",,,,Feng Ju,China,,,,,Private Limited Company,"Street 99, National Road 4, Chom Chao, Por Sen Chey, Phnom Penh, Cambodia
Cambodia",,,,,,,"Rovieng district, Preah Vihear province",,,Rovieng,Preah Vihear,Other data,14_New_Factories__05.08.2021.pdf;China_Great_Cause_and_MOC_amendment_No_1__10.6.2014.pdf,13.5,104.833,District
55,0101000020887F00006C034C169ED51E41BF56DDD0D6313541,55,55,,,Agro-industry,Factory,Rice milling and processed rice milling factory,"Lianyun (Cambodia) Eco-Agriculture Development Co., Ltd",43.0,"43,000,000",,"1,203",,,,Renken Zuo,China,,,,,Private Limited Company,"Villa No 2, 1st storey, Street 5 Borey Piphub Thmey, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,"Santuk district, Kampong Thom province",,,Santuk,Kampong Thom,Other data,14_New_Factories__05.08.2021.pdf;Lianyu_Eco_Agriculture__28.01.2021.pdf,12.56484481,105.0477921,District
56,0101000020887F0000AACDA191B5752241822646C4128C3541,56,56,,,Agro-industry,Factory,Agro-industrial rubber plantation and construction of a processing factory,"Chhun Hong Rubber Better Co., Ltd",24.9,"24,890,000",,"1,554",,,8202,"Chen Feng, Gan Xuede, Lu Jian, Pan Changbing, Yab Hai Ter, Zhong Weikun, Ty Piseth","China, Cambodia",,,,,Private Limited Company,"No. 158, (Room 1206), Street 315, Boeng Kak Pir, Tuol Kouk, Phnom Penh, Cambodia",,,,,,,"Kampong Cham commune, Sambor district, Kratie Province,",,Kampong Cham,Sambor,Kratie ,Other data,14_New_Factories__05.08.2021.pdf;Chhun_Hong_Rubber_Better__21.06.2011.pdf;Chhun_Hong_Rubber_Better__28.01.2021.pdf,12.77197221,105.9663418,District
57,0101000020887F00006C034C169ED51E41BF56DDD0D6313541,57,57,,,Agro-industry,Factory,Rice milling and processed rice milling factory,Baofeng International Agriculture Development,43.3,"43,310,000",,"1,203",,,,Long Yao Chen,China,,,,,Private Limited Company,"No. 02, ( Borey Piphub Thmey 05) Hanoi Street, Roang Chakr, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,,,,,,"Santuk district, Kompong Thom province",,,Santuk,Kampong Thom,Other data,CDC_To_Issue_35_Project_Certificates_In_Industries__03.04.2018.pdf;The_Council_For_The_Development_Of_Cambodia__27.03.2018.pdf;Baofeng_International_Agriculture__28.01.2021.pdf,12.56484481,105.0477921,District
58,0101000020887F00004E85B9E31683144135FD4D8456F13141,58,58,,,Industrial development,SEZ,Cam m j agricultural park special economic zone,"Cam M J Agricultural Park Co., Ltd",150.0,"150,000,000",,"1,547",,,100,Qiu Guoxing,China,,,,,Private Limited Company," Angkrong, Angk Popel, Kong Pisei, Kampong Speu, 5301, Cambodia
Cambodia",,,,,Sub-decree No.159 on the establishment of CAM MJ Agricultural Park special economic zone: https:..data.opendevelopmentcambodia.net.laws_record.establishment-of-the-special-economic-zone-cam-mj-agricultural-park,,"Phum Ta Ney, Khum Cheung Kou,  Srok Prey Nob, Preah Sihanouk",Phum Ta Ney,Cheung Kou,Prey Nob,Preah Sihanouk,Other data,A_Company_Plans_To_Invest_In_Mango_Processing_InCambodia__05.10.2019.pdf,10.63388889,103.5013889,Province
59,0101000020887F000073389ABA6F081C4173D835BA030D3341,59,59,,,Retail / Commercial Establishments,Real Estate,All kinds of fruit processing factory project,"Cam M J Agricultural Park Co., Ltd",5.5,"5,500,000",,"1,216",,,24.5912,Qiu Guoxing,China,,,,,Private Limited Company," Angkrong, Angk Popel, Kong Pisei, Kampong Speu, 5301, Cambodia
Cambodia",,,,,,,"Phum Angkrong, Khorm Ank Popei, Srok Kong Pisei, Kompong Speu
Province, Cambodia",Angkrong,Ank Popei,Kong Pisei,Kampong Speu,Other data,Three_Investment_Projects_Worth_$246_Million__28.05.2020.pdf;CAM_M_J_Agriculture_Park__28.01.2021.pdf;Prince_Real_Estate_To_Build_Industrial_Park_In_Kampong_Speu__30.05.2018.pdf;Cam_MJ_5.5million__27.05.2020.pdf,11.29402088,104.626993,District
60,0101000020887F0000109F9AFF8F702341C818FAFF57973541,60,60,133,https://opendevelopmentcambodia.net/en/profiles/mining-concessions/?feature_id=133,Extractive Industry,Mining,Gold ore mining exploration project,"Xing Yuan Kanng Yeak Co., Ltd",15.0,"15,000,000",China,,2008,,2050,Yang Shuping,China,IESIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=24,,,Private Limited Company,"No. 182​, Room 303, 3rd storey, Sihanouk Blvd, Boeng Keng Kang Muoy, Chamkar Mon, Phnom Penh, Cambodia",,"The obligation to pay taxes and rent for annual land concessions is equal to $ 84,631.50, of which 1. the exploration fee for 22 square kilometers is equal to ($ 15 x 22 = $ 330) 2. the rent for mining area 06 Square kilometers ($ 400 x $ 6 = $ 2,400) (3) 3% mineral royalties equal to (64489550 dollars x 3% = $ 194686) and (4) 10% export tax on products Export is equal to $ 6489550 x 10% = $ 648955. Annual social and environmental support of $ 100,000.",662,1 June 2010,"Business License (1st time) No. 727, dated 18 August 2008 of the Ministry of Industry, Mines and Energy. B-Letter No. 015 dated 18 August 2010 request for extension. Business license in Ochhech Lak area, Sambo district, Kratie province: by Xing Yuan Kanng Yeak Co., Ltd. C-Letter No. 016 dated May 18, 2010 requesting to keep the area of ​​(28) square kilometers in the area of ​​Ochchek Khnok, Sambo District, Kratie Province of Xing Yuan KangYeak Co., Ltd. D. Business License (2nd) No. 662, dated August 06, 2010","Letter No. 662, dated August 06, 2010","O'Klik Klock, Kbal Domrey, Sombou, Kratie",O'Klik Klock,Kbal Domrey,Sombou,Kratie,Other data,Draft_IEIA_XING_YUAN_KANNG_YEAK__00.04.2011.pdf;Opencorporate_XING_YUAN_KANNG_YEAK__28.01.2021.pdf,12.79680845,106.2622438,Commune
61,0101000020887F0000DF97F1E4F68C2641FE9EF2BA9C1A3741,61,61,127,https://opendevelopmentcambodia.net/en/profiles/mining-concessions/?feature_id=127,Extractive Industry,Mining,Iron mining and development project,"Hoang Anh Ratanakiri Co., Ltd",16.0,"16,000,000",Vietnam,,2011,9.5,,Nguyen Thi Kim Thanh,Vietnam,EIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=6,,Hoang Anh Gia Lai ,Private Limited Company,"Tes Anlong Village, Sangkat Boeung Kanseng, Yeak Laom, Ban Lung, Ratanak Kiri, Cambodia",,,,12 July 2009,,,30km away from Ban Lung Municipality and 8km from National Road 78,,,"Bar Kaev, Ou Ya Dav",Ratanakriri,Secondary data,Draft_EIA_HAR__00.07.2011.pdf; Hoang_Anh_Ratanakiri__13.03.2004.pdf,13.6864568,107.2091388,Commune
62,0101000020887F00005A6F7CC4079F1F413C9C1131C5003741,62,62,elc_gdc_188,https://opendevelopmentcambodia.net/en/profiles/economic-land-concessions/?feature_id=elc_gdc_188,Agro-industry,ELC,Agro-industry plantation project,Heng Nong (Cambodia) International Company Limited,26.4,"26,400,000",China,,2016,50,,Liu Jun,China,EIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=8,,Hengfu Sugar Group,Private Limited Company,,"The company plans to spend an additional ​of USD 25,000 per year on environmental resources and USD 65,000 per year for social, the total amount is approximately USD 4,500,000.","Develop local infrastructure systems, increase the knowledge and experience to local people involved in sugarcane production. The company has been involved in community development such as construction of wells and donation to Red Cross. The project has a budget of approximately USD 90,000 per year for the implementation of activities aimed at promoting the local livelihood in the region.",,,,,The project area is located about 23 km from the provincial town of Preah Vihear,,"Ta sokh commune, S'ang commune, Putrea commune",Chey Sen,Preah Vihear,Secondary data,Heng_Nong_Cambodia_International_Company_Limited_in_MAFF_Statistic__08.06.2012.pdf;Draft_EIA_Heng_Nong__00.07.2016.pdf,13.63644,105.16718,Project location (Google)
63,0101000020887F00001830CB62A8E6124195E09AEA02A53341,63,63,20,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=20,Energy,Hydropower dam,Tatai hydroelectric project,Cambodian Tatay Hydropower Limited (CTHL),540.0,"540,000,000",China,,2010,42,1330,Xiao Ping,China,EIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=10,,,Private Limited Company,"No. 16, Street 592, Phum 12, Boeng Kak Pir, Tuol Kouk, Phnom Penh, 12152, Cambodia",The project implementation will provide the economic value to investors as well as Cambodia through reliable power generation of 858 000 000 KWh.year and to be sold to the Electricité du Cambodge at USD0.074.kWh.,,,23 Oct 2009,,,"Located on the river in Thmor Bang and Koh Kong district, Koh Kong province, about 35 km east of Koh Kong province and about 260 km from Phnom Penh on the National Road 4 and 48.",,,"Tmat pong, Koh Kong",Koh Kong,Other data,CAMBODIAN_TATAY_HYDROPOWER_LIMITED_Hydropower_Dam__28.01.2021.pdf;Draft_EIA_CTHL__00.09.2010.pdf,11.640865,103.2541578,Project location (Google)
64,0101000020887F0000C005838D2D981241A4A54FF3BF4A3441,64,64,72,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=72,Energy,Hydropower dam,Stung Atay hydropower plant investment project,"C.H.D (Cambodia) Hydropower Development Co., Ltd",246.9,"246,885,600",China,,2011,,"5,098.67",Huang Tao,China,EIA,https://opendevelopmentcambodia.net/km/profiles/environmental-impacts-assessments/?feature_id=15,,,Private Limited Company,"Borey Sen Sok, Building A, 8th floor, 598, Other, Phnom Penh Thmei, Sen Sok, Phnom Penh, Cambodia",,"The cost of environmental restoration is USD 3,091,250.00 for 6 months. USD 1,977,248.00 for water and land conservation, USD 35,200.00 for environmental protection, USD 545,200.00 for wildlife protection, USD 40,000.00 for wildlife rehabilitation, USD 66,400.00 for health protection, USD 50,000 in environmental education, USD 100,000.00 in consulting fees and USD 130,000 for construction and relocation costs .",,,,,"Pursat, Koh kong",,Ou Saom,Veal Veng,"Pursat, Koh kong",Other data,"C.H.D_Cambodia_hydropower_development__28.01.2021.pdf;Stung_Tatai_Leu_dam__10.01.2022.pdf;Draft_EIA_CHD_Cambodia_hydropower__00.12.2011.pdf
",12.02409974,103.2056012,Commune
65,0101000020887F00006033BD117C171241A6337A2933493441,65,65,3,https://opendevelopmentcambodia.net/en/profiles/hydropower-dams/?feature_id=3,Energy,Hydropower dam,Pursat 1 hydropower development,"KTC Cable Co., Ltd",232.2,"232,210,000",Korea,,2017,35,9355,Kim Myung Il,Korea,EIA,https://opendevelopmentcambodia.net/profiles/environmental-impacts-assessments/?feature_id=9,1 December 2006,,Private Limited Company,,"For 35 years, the company has allocated USD 826,400 for social and environmental funds (USD 667,680 for environmental funds and USD 158,800 for social funds). Environmental funds will be used for tree planting, community forest conservation, forestry and fisheries conservation, and social funds will be used in village and commune budgets.",,,1 Dec 2006,,,"The site is approximatly 95,5 Km from Pursat provincial town and 185,22 Km from Khemarak Phumin provincial town of Koh Kong province ",Stueng Thmei,Pramaoy,Veal Veng,Pursat,Secondary data,Draft_EIA_KTC___00.00.2017.pdf,12.02001725,103.1299974,Commune
